package_code,package_name,specialty,max_package_rate_inr,covered,icd10_code_hint
PMJAY-DERM-002,Inpatient Management of Stevens-Johnson Syndrome / TEN,Dermatology,85000,True,L51.1
PMJAY-DERM-003,Treatment of Severe Exfoliative Dermatitis / Erythroderma,Dermatology,38000,True,L26
PMJAY-DERM-004,Inpatient Care for Severe Psoriatic Erythroderma,Dermatology,42000,True,L40.0
PMJAY-DERM-005,Surgical Excision of Melanoma with Sentinel Node Biopsy,Dermatology,95000,True,C43.9
PMJAY-DERM-006,Surgical Excision of Basal Cell Carcinoma,Dermatology,28000,True,C44.9
PMJAY-DERM-007,Surgical Excision of Squamous Cell Carcinoma of Skin,Dermatology,35000,True,C44.9
PMJAY-DERM-008,Inpatient Care for Leprosy Reaction (Type 1 / Type 2),Dermatology,25000,True,A30.9
PMJAY-DERM-009,Debridement & Management of Pyoderma Gangrenosum,Dermatology,32000,True,L88
PMJAY-DERM-010,Phototherapy Course (Narrowband UVB) for Severe Psoriasis,Dermatology,15000,True,L40.0
PMJAY-DERM-011,Surgical Debridement of Necrotizing Fasciitis,Dermatology,65000,True,M72.6
PMJAY-DERM-012,Management of Toxic Epidermal Necrolysis in Burn / ICU Unit,Dermatology,98000,True,L51.2
PMJAY-DERM-013,Biological Therapy for Refractory Severe Atopic Dermatitis,Dermatology,50000,True,L20.9
PMJAY-DERM-014,Excision and Grafting for Large Cutaneous Malignancy,Dermatology,48000,True,C44.9
PMJAY-DERM-015,Inpatient Management of Bullous Pemphigoid,Dermatology,40000,True,L12.0
